MESS_DATUM,T_aussen_C,Heizlast_kW
2019041207,4.5,425.60883750000005
2019041208,4.8,0.0
2019041209,5.2,0.0
2019041210,5.2,98.43889000000001
2019041211,5.3,0.0
2019041212,5.7,0.0
2019041213,5.5,0.0
2019041214,5.9,0.0
2019041215,5.4,0.0
2019041216,5.3,4.0888974999999625
2019041217,5.2,0.0
2019041218,4.4,386.67882999999995
2019041219,4.1,869.7288075
2019041220,3.8,886.138785
2019041221,3.8,886.138785
2019041222,3.4,908.0187550000002
2019041223,3.2,918.95874
2019041300,2.4,962.7186800000002
2019041301,1.6,1006.4786199999999
2019041302,1.2,1028.35859
2019041303,1.5,1011.9486125000001
2019041304,1.7,1001.0086275
2019041305,1.1,1033.8285824999998
2019041306,1.7,889.8886275
2019041307,2.9,179.84871750000013
2019041308,3.8,0.0
2019041309,4.2,0.0
2019041310,4.8,0.0
2019041311,6.3,0.0
2019041312,7.4,0.0
2019041313,4.8,0.0
2019041314,6.3,0.0
2019041315,6.5,0.0
2019041316,6.5,0.0
2019041317,4.7,0.0
2019041318,4.4,31.078829999999957
2019041319,3.1,924.4287324999999
2019041320,1.8,995.538635
2019041321,0.8,1050.23856
2019041322,-0.2,1104.938485
2019041323,-1.4,1170.5783949999998
2019041400,-1.7,1186.9883725
2019041401,-1.9,1197.9283575
2019041402,-1.5,1176.0483875
2019041403,-1.2,1159.63841
2019041404,-0.9,1143.2284324999998
2019041405,-0.3,1110.4084775000001
2019041406,0.3,1033.1085225
2019041407,2.1,623.6086574999998
2019041408,5.2,0.0
2019041409,7.0,0.0
2019041410,8.0,0.0
2019041411,9.1,0.0
2019041412,10.1,0.0
2019041413,11.6,0.0
2019041414,11.8,0.0
2019041415,11.4,0.0
2019041416,11.2,0.0
2019041417,10.3,0.0
2019041418,8.8,345.99916
2019041419,7.1,705.6290325
2019041420,5.1,815.0288825
2019041421,4.7,836.9088525000001
2019041422,2.3,968.1886724999999
2019041423,2.7,946.3087025
2019041500,3.2,918.95874
2019041501,3.5,902.5487625
2019041502,3.8,886.138785
2019041503,4.6,842.378845
2019041504,5.1,815.0288825
2019041505,5.3,804.0888974999999
2019041506,6.1,649.2089575
2019041507,7.2,0.0
2019041508,8.5,0.0
2019041509,10.5,0.0
2019041510,12.4,0.0
2019041511,14.6,0.0
2019041512,16.5,0.0
2019041513,16.6,0.0
2019041514,17.9,0.0
2019041515,18.2,0.0
2019041516,17.7,0.0
2019041517,17.4,0.0
2019041518,16.3,0.0
2019041519,14.3,311.78957249999996
2019041520,13.3,366.4894974999999
2019041521,12.4,415.71943
2019041522,11.2,481.3593400000001
2019041523,10.1,541.5292575000001
2019041600,9.4,579.819205
2019041601,8.6,623.579145
2019041602,7.8,667.339085
2019041603,7.2,700.15904
2019041604,6.5,738.4489875
2019041605,6.2,754.858965
2019041606,7.9,417.3890925
2019041607,10.2,0.0
2019041608,12.6,0.0
2019041609,14.6,0.0
2019041610,16.2,0.0
2019041611,17.7,0.0
2019041612,17.9,0.0
2019041613,18.4,0.0
2019041614,18.8,0.0
