STATIONS_ID;MESS_DATUM;QN_9;TT_TU;RF_TU;eor
2667;2024031314;3;  12.8;  83.0;eor
2667;2024031315;3;  12.9;  81.0;eor
2667;2024031316;3;  12.6;  81.0;eor
2667;2024031317;3;  12.4;  83.0;eor
2667;2024031318;3;  11.7;  85.0;eor
2667;2024031319;3;  11.8;  83.0;eor
2667;2024031320;3;  11.9;  82.0;eor
2667;2024031321;3;  10.8;  88.0;eor
2667;2024031322;3;  10.7;  90.0;eor
2667;2024031323;3;  10.8;  90.0;eor
2667;2024031400;3;   9.7;  92.0;eor
2667;2024031401;3;  10.2;  92.0;eor
2667;2024031402;3;   9.9;  90.0;eor
2667;2024031403;3;   9.3;  89.0;eor
2667;2024031404;3;   7.9;  90.0;eor
2667;2024031405;3;   8.4;  93.0;eor
2667;2024031406;3;   7.8;  93.0;eor
2667;2024031407;3;   8.0;  92.0;eor
2667;2024031408;3;   9.9;  84.0;eor
2667;2024031409;3;  11.8;  76.0;eor
2667;2024031410;3;  12.1;  73.0;eor
2667;2024031411;3;  13.5;  68.0;eor
2667;2024031412;3;  15.0;  66.0;eor
2667;2024031413;3;  15.8;  60.0;eor
2667;2024031414;3;  17.3;  55.0;eor
2667;2024031415;3;  18.1;  51.0;eor
2667;2024031416;3;  17.9;  57.0;eor
2667;2024031417;3;  15.2;  62.0;eor
2667;2024031418;3;  14.8;  58.0;eor
2667;2024031419;3;  13.5;  64.0;eor
2667;2024031420;3;  13.2;  71.0;eor
2667;2024031421;3;  11.1;  77.0;eor
2667;2024031422;3;  12.8;  73.0;eor
2667;2024031423;3;  11.6;  78.0;eor
2667;2024031500;3;  11.2;  80.0;eor
2667;2024031501;3;  11.7;  79.0;eor
2667;2024031502;3;  11.3;  80.0;eor
2667;2024031503;3;  11.3;  80.0;eor
2667;2024031504;3;  10.6;  82.0;eor
2667;2024031505;3;  11.9;  77.0;eor
2667;2024031506;3;  12.2;  75.0;eor
2667;2024031507;3;  12.0;  77.0;eor
2667;2024031508;3;  12.8;  75.0;eor
2667;2024031509;3;  13.0;  75.0;eor
2667;2024031510;3;  14.2;  73.0;eor
2667;2024031511;3;  15.1;  69.0;eor
2667;2024031512;3;  15.5;  65.0;eor
2667;2024031513;3;  16.3;  59.0;eor
2667;2024031514;3;  16.8;  54.0;eor
2667;2024031515;3;  15.2;  68.0;eor
2667;2024031516;3;  15.7;  62.0;eor
2667;2024031517;3;  14.5;  68.0;eor
2667;2024031518;3;   9.7;  91.0;eor
2667;2024031519;3;   9.5;  92.0;eor
2667;2024031520;3;   9.0;  95.0;eor
2667;2024031521;3;   7.9;  93.0;eor
2667;2024031522;3;   9.3;  90.0;eor
2667;2024031523;3;   9.1;  90.0;eor
2667;2024031600;3;  10.0;  88.0;eor
2667;2024031601;3;   9.3;  86.0;eor
2667;2024031602;3;   9.4;  84.0;eor
