MESS_DATUM,T_aussen_C,COP
2019012005,-4.7,3.8809823677581874
2019012006,-5.0,3.8518749999999997
2019012007,-5.3,3.82320099255583
2019012008,-4.7,3.8809823677581874
2019012009,-3.3,4.0228459530026095
2019012010,-2.2,4.141801075268818
2019012011,-0.9,4.291782729805016
2019012012,0.1,4.414756446991406
2019012013,0.9,4.518328445747797
2019012014,1.5,4.599253731343283
2019012015,1.7,4.626876876876875
2019012016,0.6,4.478924418604654
2019012017,-1.6,4.209699453551909
2019012018,-2.7,4.0868700265252
2019012019,-4.3,3.920483460559795
2019012020,-4.8,3.871231155778893
2019012021,-4.6,3.8907828282828256
2019012022,-6.0,3.7579268292682926
2019012023,-5.6,3.7949507389162536
2019012100,-6.8,3.686004784688994
2019012101,-7.1,3.6597387173396654
2019012102,-7.3,3.6424349881796676
2019012103,-8.1,3.574825986078884
2019012104,-7.9,3.5914918414918433
2019012105,-8.9,3.509681093394079
2019012106,-9.2,3.485859728506788
2019012107,-9.1,3.4937641723355988
2019012108,-8.8,3.5176940639269394
2019012109,-6.0,3.7579268292682926
2019012110,-3.5,4.001948051948052
2019012111,-2.6,4.097739361702125
2019012112,-1.1,4.268005540166202
2019012113,0.0,4.402142857142857
2019012114,0.9,4.518328445747797
2019012115,0.7,4.491982507288628
2019012116,-0.5,4.340140845070422
2019012117,-2.9,4.065303430079158
2019012118,-3.8,3.971005154639174
2019012119,-5.8,3.776348039215685
2019012120,-5.7,3.7856265356265366
2019012121,-6.8,3.686004784688994
2019012122,-5.1,3.8422693266832892
2019012123,-5.0,3.8518749999999997
2019012200,-5.2,3.8327114427860702
2019012201,-5.3,3.82320099255583
2019012202,-5.5,3.8043209876543207
2019012203,-5.6,3.7949507389162536
2019012204,-5.4,3.813737623762378
2019012205,-5.9,3.76711491442543
2019012206,-5.9,3.76711491442543
2019012207,-5.0,3.8518749999999997
2019012208,-4.5,3.900632911392405
2019012209,-3.8,3.971005154639174
2019012210,-3.1,4.043963254593173
2019012211,-3.2,4.033376963350786
2019012212,-1.8,4.186820652173911
2019012213,-1.3,4.24449035812672
2019012214,-1.4,4.232829670329672
2019012215,-1.6,4.209699453551909
2019012216,-1.8,4.186820652173911
2019012217,-2.0,4.164189189189189
2019012218,-2.1,4.15296495956873
2019012219,-2.1,4.15296495956873
2019012220,-2.0,4.164189189189189
2019012221,-1.9,4.17547425474255
2019012222,-2.4,4.1196524064171145
2019012223,-2.7,4.0868700265252
2019012300,-2.7,4.0868700265252
2019012301,-2.5,4.108666666666666
2019012302,-2.2,4.141801075268818
2019012303,-1.9,4.17547425474255
2019012304,-1.9,4.17547425474255
2019012305,-1.9,4.17547425474255
2019012306,-1.9,4.17547425474255
2019012307,-2.0,4.164189189189189
2019012308,-2.8,4.076058201058199
2019012309,-2.3,4.130697050938336
2019012310,-1.9,4.17547425474255
2019012311,-1.1,4.268005540166202
2019012312,-1.1,4.268005540166202
2019012313,-0.9,4.291782729805016
2019012314,-1.1,4.268005540166202
2019012315,-1.6,4.209699453551909
2019012316,-1.8,4.186820652173911
2019012317,-2.1,4.15296495956873
2019012318,-2.2,4.141801075268818
2019012319,-2.3,4.130697050938336
2019012320,-2.5,4.108666666666666
2019012321,-2.6,4.097739361702125
2019012322,-2.6,4.097739361702125
2019012323,-2.6,4.097739361702125
2019012400,-2.3,4.130697050938336
2019012401,-2.5,4.108666666666666
2019012402,-2.5,4.108666666666666
2019012403,-2.9,4.065303430079158
2019012404,-3.2,4.033376963350786
2019012405,-3.3,4.0228459530026095
2019012406,-3.2,4.033376963350786
2019012407,-3.5,4.001948051948052
2019012408,-3.6,3.9915803108808263
2019012409,-3.7,3.9812661498708017
2019012410,-3.8,3.971005154639174
2019012411,-3.2,4.033376963350786
2019012412,-2.9,4.065303430079158
2019012413,-3.1,4.043963254593173
2019012414,-3.1,4.043963254593173
2019012415,-2.9,4.065303430079158
2019012416,-3.4,4.012369791666669
2019012417,-3.2,4.033376963350786
2019012418,-3.2,4.033376963350786
2019012419,-3.2,4.033376963350786
2019012420,-3.2,4.033376963350786
2019012421,-3.2,4.033376963350786
2019012422,-3.1,4.043963254593173
2019012423,-3.1,4.043963254593173
2019012500,-3.0,4.054605263157894
2019012501,-3.0,4.054605263157894
2019012502,-3.0,4.054605263157894
2019012503,-2.8,4.076058201058199
2019012504,-2.8,4.076058201058199
2019012505,-2.7,4.0868700265252
2019012506,-2.6,4.097739361702125
2019012507,-2.4,4.1196524064171145
2019012508,-2.2,4.141801075268818
2019012509,-1.9,4.17547425474255
2019012510,-1.4,4.232829670329672
2019012511,-0.7,4.3158263305322135
2019012512,0.5,4.4659420289855065
2019012513,2.2,4.697408536585364
2019012514,2.1,4.6831306990881485
2019012515,2.5,4.740769230769231
2019012516,2.5,4.740769230769231
2019012517,2.5,4.740769230769231
2019012518,1.1,4.544985250737466
2019012519,0.7,4.491982507288628
2019012520,0.6,4.478924418604654
2019012521,0.9,4.518328445747797
2019012522,1.2,4.55843195266272
2019012523,1.6,4.613023952095811
2019012600,2.0,4.668939393939394
2019012601,2.5,4.740769230769231
2019012602,4.0,4.97016129032258
2019012603,4.6,5.068256578947372
2019012604,4.7,5.084983498349833
2019012605,5.6,5.240646258503405
2019012606,6.0,5.312931034482758
2019012607,5.9,5.294673539518896
2019012608,6.2,5.349826388888887
2019012609,6.3,5.368466898954706
2019012610,6.7,5.444346289752648
2019012611,7.3,5.562274368231049
2019012612,7.3,5.562274368231049
2019012613,7.8,5.664522058823532
2019012614,7.6,5.623175182481756
2019012615,7.8,5.664522058823532
2019012616,7.0,5.502678571428571
2019012617,6.2,5.349826388888887
2019012618,5.9,5.294673539518896
2019012619,6.0,5.312931034482758
2019012620,6.2,5.349826388888887
2019012621,6.2,5.349826388888887
2019012622,6.0,5.312931034482758
2019012623,6.4,5.387237762237757
2019012700,6.4,5.387237762237757
2019012701,6.4,5.387237762237757
2019012702,5.8,5.276541095890413
2019012703,5.5,5.222881355932203
2019012704,5.9,5.294673539518896
2019012705,6.1,5.331314878892737
2019012706,6.2,5.349826388888887
2019012707,6.1,5.331314878892737
2019012708,6.7,5.444346289752648
2019012709,7.3,5.562274368231049
2019012710,7.1,5.52240143369176
2019012711,6.9,5.483096085409247
2019012712,7.6,5.623175182481756
2019012713,8.0,5.7064814814814815
2019012714,8.1,5.7276951672862495
2019012715,7.1,5.52240143369176
2019012716,5.1,5.1530100334448194
2019012717,4.2,5.002435064935063
2019012718,4.2,5.002435064935063
2019012719,3.8,4.938301282051284
2019012720,3.5,4.891269841269841
2019012721,3.2,4.8451257861635195
2019012722,2.9,4.799844236760121
2019012723,3.5,4.891269841269841
2019012800,3.4,4.875791139240502
2019012801,3.7,4.92252396166134
2019012802,2.8,4.784937888198759
2019012803,2.5,4.740769230769231
2019012804,2.2,4.697408536585364
2019012805,2.0,4.668939393939394
2019012806,2.5,4.740769230769231
2019012807,1.7,4.626876876876875
2019012808,2.4,4.726226993865027
2019012809,2.8,4.784937888198759
2019012810,2.8,4.784937888198759
2019012811,3.3,4.860410094637225
2019012812,3.6,4.906847133757965
2019012813,3.6,4.906847133757965
2019012814,3.4,4.875791139240502
2019012815,3.2,4.8451257861635195
2019012816,3.4,4.875791139240502
2019012817,3.6,4.906847133757965
2019012818,2.9,4.799844236760121
2019012819,3.0,4.81484375
2019012820,2.8,4.784937888198759
2019012821,2.6,4.755401234567905
2019012822,2.2,4.697408536585364
2019012823,2.2,4.697408536585364
2019012900,1.6,4.613023952095811
2019012901,1.7,4.626876876876875
2019012902,1.6,4.613023952095811
2019012903,2.0,4.668939393939394
2019012904,1.8,4.640813253012049
2019012905,1.8,4.640813253012049
2019012906,1.7,4.626876876876875
2019012907,1.1,4.544985250737466
2019012908,1.2,4.55843195266272
2019012909,2.0,4.668939393939394
2019012910,2.4,4.726226993865027
2019012911,3.8,4.938301282051284
2019012912,3.7,4.92252396166134
2019012913,3.8,4.938301282051284
2019012914,4.3,5.018729641693812
2019012915,3.4,4.875791139240502
2019012916,1.8,4.640813253012049
2019012917,0.9,4.518328445747797
2019012918,0.9,4.518328445747797
2019012919,1.1,4.544985250737466
2019012920,1.3,4.571958456973295
2019012921,1.3,4.571958456973295
2019012922,1.2,4.55843195266272
2019012923,1.3,4.571958456973295
2019013000,1.2,4.55843195266272
2019013001,1.2,4.55843195266272
2019013002,0.9,4.518328445747797
2019013003,0.4,4.453034682080921
2019013004,0.6,4.478924418604654
2019013005,0.5,4.4659420289855065
2019013006,0.5,4.4659420289855065
2019013007,-0.9,4.291782729805016
2019013008,-0.7,4.3158263305322135
2019013009,0.0,4.402142857142857
2019013010,0.3,4.440201729106629
2019013011,0.1,4.414756446991406
2019013012,-0.1,4.389601139601137
2019013013,0.7,4.491982507288628
2019013014,0.2,4.4274425287356305
2019013015,-0.2,4.3771306818181825
2019013016,-0.3,4.364730878186967
2019013017,-0.2,4.3771306818181825
2019013018,0.0,4.402142857142857
2019013019,-0.1,4.389601139601137
2019013020,0.1,4.414756446991406
2019013021,0.3,4.440201729106629
2019013022,0.0,4.402142857142857
2019013023,-0.1,4.389601139601137
2019013100,-0.9,4.291782729805016
2019013101,-1.4,4.232829670329672
2019013102,-1.7,4.198228882833789
2019013103,-1.9,4.17547425474255
2019013104,-3.1,4.043963254593173
2019013105,-2.2,4.141801075268818
2019013106,-1.8,4.186820652173911
2019013107,-1.6,4.209699453551909
2019013108,-1.5,4.221232876712328
2019013109,-0.9,4.291782729805016
2019013110,-0.3,4.364730878186967
2019013111,0.1,4.414756446991406
2019013112,0.2,4.4274425287356305
2019013113,0.1,4.414756446991406
2019013114,0.2,4.4274425287356305
2019013115,1.7,4.626876876876875
2019013116,-0.8,4.303770949720668
2019013117,-2.8,4.076058201058199
2019013118,-0.4,4.352401129943505
2019013119,-1.5,4.221232876712328
2019013120,-2.0,4.164189189189189
2019013121,-1.3,4.24449035812672
2019013122,-0.9,4.291782729805016
2019013123,-0.9,4.291782729805016
2019020100,-0.2,4.3771306818181825
2019020101,0.4,4.453034682080921
2019020102,0.4,4.453034682080921
2019020103,0.8,4.5051169590643285
